Sample	TotalCallCount	HetSiteCount	TotalMonomorphicCount	HomRefCount	HomAltCount	HeterozygosityPerSite
100_Elut_KUR_24	2208	2	2206	2159	47	0.000905797101449
101_Elut_KUR_3	2204	1	2203	2156	47	0.000453720508167
102_Elut_KUR_4	2208	1	2207	2160	47	0.000452898550725
103_Elut_KUR_6	2208	1	2207	2160	47	0.000452898550725
104_Elut_KUR_7	2201	1	2200	2153	47	0.000454338936847
105_Elut_KUR_8	2208	2	2206	2159	47	0.000905797101449
106_Elut_AL_AD_GE91109	2162	1	2161	2117	44	0.000462534690102
107_Elut_AL_AD_GE91110	2193	2	2191	2146	45	0.000911992704058
108_Elut_AL_AD_GE91114	2208	1	2207	2160	47	0.000452898550725
109_Elut_AL_AT_GE91125	2208	2	2206	2159	47	0.000905797101449
110_Elut_AL_AT_GE91132	2208	2	2206	2159	47	0.000905797101449
111_Elut_AL_AT_GE91133	2208	1	2207	2159	48	0.000452898550725
112_Elut_AL_AM_AM92022	2039	1	2038	1996	42	0.000490436488475
113_Elut_AL_AM_AM92088	2208	2	2206	2159	47	0.000905797101449
114_Elut_CA_214	2196	1	2195	2148	47	0.000455373406193
115_Elut_CA_305	2205	1	2204	2157	47	0.000453514739229
116_Elut_CA_307	2198	0	2198	2152	46	0.0
117_Elut_CA_315	2207	2	2205	2158	47	0.000906207521522
118_Elut_AL_AD_GE91101	2208	1	2207	2160	47	0.000452898550725
119_Elut_AL_AM_AM92061	2207	1	2206	2159	47	0.000453103760761
120_Elut_AL_AM_AM92044	2208	2	2206	2159	47	0.000905797101449
121_Elut_AL_AT_GE91135	2208	1	2207	2160	47	0.000452898550725
122_Elut_AL_AT_GE91138	2208	2	2206	2159	47	0.000905797101449
123_Elut_AL_AT_GE91141	2208	2	2206	2159	47	0.000905797101449
124_Elut_AL_AT_GE91143	2208	1	2207	2160	47	0.000452898550725
125_Elut_AK_AF3369	2208	1	2207	2160	47	0.000452898550725
126_Elut_AK_AF3394	2195	1	2194	2147	47	0.000455580865604
127_Elut_AK_AF3595	2205	1	2204	2158	46	0.000453514739229
128_Elut_AK_AF3630	1830	1	1829	1793	36	0.000546448087432
129_Elut_AK_AL4660	2207	1	2206	2159	47	0.000453103760761
130_Elut_BER_97	2208	1	2207	2160	47	0.000452898550725
131_Elut_BER_34	2056	2	2054	2015	39	0.000972762645914
132_Elut_BER_35	2116	2	2114	2069	45	0.000945179584121
133_Elut_BER_37	2208	1	2207	2160	47	0.000452898550725
134_Elut_BER_38	2207	1	2206	2159	47	0.000453103760761
135_Elut_BER_42	2194	2	2192	2145	47	0.000911577028259
136_Elut_BER_46	2193	2	2191	2144	47	0.000911992704058
137_Elut_BER_88	2209	1	2208	2161	47	0.000452693526483
138_Elut_BER_90	2209	2	2207	2160	47	0.000905387052965
139_Elut_CA_390	2183	1	2182	2135	47	0.000458085203848
140_Elut_CA_403	2209	2	2207	2160	47	0.000905387052965
141_Elut_CA_419	2023	1	2022	1980	42	0.000494315373208
142_Elut_CA_365	2105	1	2104	2062	42	0.000475059382423
143_Elut_KUR_5original	1955	1	1954	1914	40	0.000511508951407
144_Elut_KUR_1	2011	1	2010	1972	38	0.000497265042268
145_Elut_KUR_18	2137	1	2136	2091	45	0.000467945718297
150_Elut_AK_AF3631	1764	0	1764	1726	38	0.0
151_Elut_AK_AF3714	1217	0	1217	1192	25	0.0
152_Elut_AK_AF3720	409	0	409	404	5	0.0
153_Elut_AK_AF3181	1736	1	1735	1703	32	0.000576036866359
154_Elut_KUR_11	889	0	889	870	19	0.0
155_Elut_KUR_9	1828	1	1827	1792	35	0.00054704595186
156_Elut_MED_27	2203	2	2201	2156	45	0.000907852927826
157_Elut_MED_30	2208	1	2207	2160	47	0.000452898550725
158_Elut_MED_31	2209	1	2208	2161	47	0.000452693526483
159_Elut_MED_32	2209	1	2208	2161	47	0.000452693526483
160_Elut_MED_18	2208	1	2207	2160	47	0.000452898550725
161_Elut_MED_19	1700	0	1700	1668	32	0.0
162_Elut_MED_21	2209	1	2208	2161	47	0.000452693526483
163_Elut_AK_AF24915	2209	1	2208	2161	47	0.000452693526483
164_Elut_AK_AF3747	2209	1	2208	2161	47	0.000452693526483
165_Elut_AK_AL4661	2209	1	2208	2161	47	0.000452693526483
166_Elut_AK_GE91054	2209	1	2208	2161	47	0.000452693526483
167_Elut_AK_GE91057	2103	1	2102	2062	40	0.000475511174513
46_Elut_BER_29	2209	1	2208	2161	47	0.000452693526483
47_Elut_BER_32	2043	2	2041	2000	41	0.000978952520803
48_Elut_BER_33	2020	1	2019	1980	39	0.00049504950495
49_Elut_BER_36	2188	2	2186	2141	45	0.00091407678245
50_Elut_BER_100	2177	1	2176	2132	44	0.000459347726229
51_Elut_BER_39	2206	1	2205	2158	47	0.000453309156845
52_Elut_BER_91	2208	2	2206	2159	47	0.000905797101449
53_Elut_BER_93	2067	1	2066	2028	38	0.000483792936623
54_Elut_AK_AF3184	2086	1	2085	2042	43	0.000479386385427
55_Elut_AK_AF3736	2172	1	2171	2125	46	0.000460405156538
56_Elut_AK_AF24903	2204	2	2202	2156	46	0.000907441016334
57_Elut_AK_AF24906	2209	1	2208	2161	47	0.000452693526483
58_Elut_MED_12	2209	1	2208	2161	47	0.000452693526483
