Sample	NoCallCount
58_Elut_MED_12	0
81_Elut_KUR_2	0
61_Elut_MED_15	37
116_Elut_CA_307	10
127_Elut_AK_AF3595	3
126_Elut_AK_AF3394	13
139_Elut_CA_390	26
140_Elut_CA_403	0
102_Elut_KUR_4	0
165_Elut_AK_AL4661	0
121_Elut_AL_AT_GE91135	0
132_Elut_BER_35	93
97_Elut_AL_AM_AM92087	0
100_Elut_KUR_24	0
108_Elut_AL_AD_GE91114	0
48_Elut_BER_33	189
144_Elut_KUR_1	198
162_Elut_MED_21	0
50_Elut_BER_100	32
120_Elut_AL_AM_AM92044	0
53_Elut_BER_93	142
55_Elut_AK_AF3736	37
137_Elut_BER_88	0
76_Elut_BER_31	1394
88_Elut_MED_29	1
107_Elut_AL_AD_GE91110	15
80_Elut_KUR_19	15
138_Elut_BER_90	0
83_Elut_MED_22	0
161_Elut_MED_19	509
56_Elut_AK_AF24903	5
159_Elut_MED_32	0
119_Elut_AL_AM_AM92061	1
77_Elut_KUR_14	7
78_Elut_KUR_16	1
71_Elut_BER_44	0
115_Elut_CA_305	3
59_Elut_MED_13	0
65_Elut_AK_GE91060	0
157_Elut_MED_30	1
46_Elut_BER_29	0
103_Elut_KUR_6	0
54_Elut_AK_AF3184	123
104_Elut_KUR_7	7
154_Elut_KUR_11	1320
133_Elut_BER_37	1
86_Elut_MED_25	893
163_Elut_AK_AF24915	0
72_Elut_BER_45	1
110_Elut_AL_AT_GE91132	0
64_Elut_AK_GE91059	0
150_Elut_AK_AF3631	445
68_Elut_AK_AF3370	3
141_Elut_CA_419	186
136_Elut_BER_46	16
118_Elut_AL_AD_GE91101	0
112_Elut_AL_AM_AM92022	169
109_Elut_AL_AT_GE91125	0
123_Elut_AL_AT_GE91141	0
152_Elut_AK_AF3720	1800
57_Elut_AK_AF24906	0
87_Elut_MED_26	0
99_Elut_AL_AM_AM92059	0
130_Elut_BER_97	0
91_Elut_KUR_21	0
114_Elut_CA_214	12
84_Elut_MED_23	33
167_Elut_AK_GE91057	106
134_Elut_BER_38	2
82_Elut_MED_20	0
63_Elut_MED_17	7
117_Elut_CA_315	1
90_Elut_KUR_20	0
129_Elut_AK_AL4660	1
158_Elut_MED_31	0
66_Elut_AK_GE91062	5
105_Elut_KUR_8	0
155_Elut_KUR_9	381
143_Elut_KUR_5original	254
131_Elut_BER_34	152
92_Elut_KUR_22	0
98_Elut_AL_AM_AM92047	50
164_Elut_AK_AF3747	0
113_Elut_AL_AM_AM92088	0
166_Elut_AK_GE91054	0
69_Elut_AK_AF3734	0
111_Elut_AL_AT_GE91133	0
49_Elut_BER_36	21
101_Elut_KUR_3	4
122_Elut_AL_AT_GE91138	0
160_Elut_MED_18	1
125_Elut_AK_AF3369	0
74_Elut_BER_51	0
85_Elut_MED_24	0
128_Elut_AK_AF3630	378
151_Elut_AK_AF3714	992
94_Elut_AL_AD_GE91115	79
73_Elut_BER_50	0
52_Elut_BER_91	1
60_Elut_MED_14	12
62_Elut_MED_16	0
75_Elut_BER_52	0
145_Elut_KUR_18	72
51_Elut_BER_39	3
47_Elut_BER_32	166
142_Elut_CA_365	104
79_Elut_KUR_17	0
156_Elut_MED_27	6
106_Elut_AL_AD_GE91109	46
67_Elut_AK_GE91064	0
135_Elut_BER_42	15
96_Elut_AL_AD_GE91106	1
124_Elut_AL_AT_GE91143	0
153_Elut_AK_AF3181	473
70_Elut_BER_43	1
89_Elut_MED_28	0
93_Elut_KUR_23	2
95_Elut_AL_AD_GE91118	0
